project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,10496897d06a68cd9555ae5368bd1889b7dfa862_e805467d0420ad2fc99f0351ab98e52759680ef9,2,3,2,0
commons-lang,10496897d06a68cd9555ae5368bd1889b7dfa862_b2f1757bf9ec1632a940b9a2e65a1a022ba54af8,3,24,22,1
commons-lang,10496897d06a68cd9555ae5368bd1889b7dfa862_b2bba86c2330c518f4214f23afec1db5c83837ad,4,29,7,3
commons-lang,b2f1757bf9ec1632a940b9a2e65a1a022ba54af8_b2bba86c2330c518f4214f23afec1db5c83837ad,2,19,7,2
commons-lang,7f89bd4850b7a5b0dd2a10d2f2daa62805de5bca_7e51285c6364585624c45b92bd5a58c744047be5,2,2,2,0
commons-lang,7f89bd4850b7a5b0dd2a10d2f2daa62805de5bca_e4b58afe49b8232e0c7a1e051a6cb8580b14d6b6,3,18,16,0
commons-lang,7f89bd4850b7a5b0dd2a10d2f2daa62805de5bca_0ac772a4e3b07287c435fdc3c812f67277c85cc8,4,18,2,2
commons-lang,e4b58afe49b8232e0c7a1e051a6cb8580b14d6b6_0ac772a4e3b07287c435fdc3c812f67277c85cc8,2,3,2,0
commons-lang,e4b58afe49b8232e0c7a1e051a6cb8580b14d6b6_7ee33f6ef446fcdd4b49af6cab6890afdbbcd5cd,3,4,1,0
commons-lang,e4b58afe49b8232e0c7a1e051a6cb8580b14d6b6_6cf70f3117fbf560c34f516f63d842751aab1e91,4,6,2,0
commons-lang,7ee33f6ef446fcdd4b49af6cab6890afdbbcd5cd_6cf70f3117fbf560c34f516f63d842751aab1e91,2,3,2,0
commons-lang,7ee33f6ef446fcdd4b49af6cab6890afdbbcd5cd_2a645614db9d035d1fdd75bed1c3a989f44ddf62,3,5,2,0
commons-lang,dda41041582786bcabde03471ddf4ba6de203d29_e7268e110a79e13bda06abf3a568b8f98b9ec9ee,2,2,1,0
commons-lang,0268232db1a6663d12f82ae2f5f83e921e53358e_3cea4b2af3f9caf6aa72fa56d647c513d320e073,2,2,2,2
commons-lang,b737ab7625da23aebe14846eacb2b3ec0e8da1c3_c55a8a7259c3847d499f631a13a9e456e76e65e4,2,15,12,0
commons-lang,b737ab7625da23aebe14846eacb2b3ec0e8da1c3_5917a3f1b4d68b00c43f273d23a75f559559cd61,3,15,2,2
commons-lang,b737ab7625da23aebe14846eacb2b3ec0e8da1c3_5cff307f174e57efdfa51e1fe0dd38530829277b,4,21,9,5
commons-lang,5917a3f1b4d68b00c43f273d23a75f559559cd61_5cff307f174e57efdfa51e1fe0dd38530829277b,2,10,9,0
commons-lang,5917a3f1b4d68b00c43f273d23a75f559559cd61_22f9d06e6831211c95579127d3173a571dd139f6,3,15,7,2
commons-lang,5917a3f1b4d68b00c43f273d23a75f559559cd61_3cfef5cc59de431f379e7a67be79344bee05d3dc,4,15,3,3
commons-lang,22f9d06e6831211c95579127d3173a571dd139f6_3cfef5cc59de431f379e7a67be79344bee05d3dc,2,3,3,0
commons-lang,c49e798eab9d31f745c1b666afbf5c308c9ac4c8_091a9ab6b3446ca2950f725bdb3ed15318679261,2,2,2,0
commons-lang,5e77b39b20601dc65bb6aa5965592274da41d22d_ea5d1ed0f02c0b3f3bcfcdac839e08f8e4211e21,2,4,3,0
commons-lang,ae9f6faf8fb8ffcd52f50512682b94aea53f683d_2c83b91ca326e54fea4bb4188e1c794e76b5f924,2,4,3,1
commons-lang,f1f885f17f9039702cc258fb7bc7688755fc0229_2087934578e7b37953d63a82315248b0cbe56eb3,2,2,1,1
commons-lang,e53a0c9d92b174ba8684867433f015cdbdbdf371_b857309126b0922c1695cb514d07c9e493afcedc,2,4,4,2
commons-lang,e53a0c9d92b174ba8684867433f015cdbdbdf371_3f900a7395e31eaa72e0fa2fb43c090e5a8fa4ed,3,13,9,2
commons-lang,e53a0c9d92b174ba8684867433f015cdbdbdf371_806ed8e684a0555d24367635ac4696036ab994ce,4,14,2,3
commons-lang,3f900a7395e31eaa72e0fa2fb43c090e5a8fa4ed_806ed8e684a0555d24367635ac4696036ab994ce,2,2,2,1
commons-lang,3f900a7395e31eaa72e0fa2fb43c090e5a8fa4ed_0603aef594fa60126c2d45f2ab164eee39f7b44c,3,4,2,1
commons-lang,3f900a7395e31eaa72e0fa2fb43c090e5a8fa4ed_006fca88e86bd6f650d4d021d2ff3573a572827d,4,6,3,1
commons-lang,0603aef594fa60126c2d45f2ab164eee39f7b44c_006fca88e86bd6f650d4d021d2ff3573a572827d,2,5,3,0
commons-lang,9d9979a1604725fccd5e8e56145659388a7cd4e6_c7ddd75580f5eb951f860c13a353407c0de24bec,2,33,17,1
commons-lang,9d9979a1604725fccd5e8e56145659388a7cd4e6_32f3ff3235ebc6e94b029cef26ae6dea97982cc5,3,36,3,1
commons-lang,9d9979a1604725fccd5e8e56145659388a7cd4e6_def3a5f63457a8556709000362abd2685b716f45,4,37,2,2
commons-lang,32f3ff3235ebc6e94b029cef26ae6dea97982cc5_def3a5f63457a8556709000362abd2685b716f45,2,3,2,0
commons-lang,32f3ff3235ebc6e94b029cef26ae6dea97982cc5_5f377c545345cfe9ca97306fec01a191711c5991,3,15,12,0
commons-lang,1506b78c6b74101f7d7e5f6dc370e271a06e0b54_fd1c70324a56a476943012d4b3f8c42b31eeee62,2,7,7,1
commons-lang,1506b78c6b74101f7d7e5f6dc370e271a06e0b54_ec239ed061edde42668b632181bb2c9e032644cc,3,7,2,3
commons-lang,a981e54a1b318bf0fbb96f7db842904da771ec31_f142a95b57f0eeb1b51f94ccef4c127b59b50289,2,2,2,2
commons-lang,a981e54a1b318bf0fbb96f7db842904da771ec31_dbd787b0d5c7394188ec4d74a5d52b461327f1c8,3,10,8,2
commons-lang,a981e54a1b318bf0fbb96f7db842904da771ec31_92f65370e7c394d16596a25aabbfb67c6da414a2,4,11,3,4
commons-lang,dbd787b0d5c7394188ec4d74a5d52b461327f1c8_92f65370e7c394d16596a25aabbfb67c6da414a2,2,4,3,1
